N,L,demand,method,obj_mean,obj_min,obj_max,runtime_mean,cpu_runtime_mean,mip_gap,obj_bound
3,10,increasing,GA,3517.3333333333335,3515.3,3518.8,3.129551808039347,2.9114583333333335,,
3,10,random,GA,3528.0536666666667,3501.987,3577.687,3.5848872661590576,3.1927083333333335,,
4,14,constant,GA,3726.433333333333,3723.5,3731.4,4.772930304209392,4.614583333333333,,
4,14,increasing,GA,6150.3,6077.4000000000015,6193.5,4.906299988428752,4.791666666666667,,
4,14,random,GA,4883.804666666667,4765.738,4976.938,4.590091149012248,4.442708333333333,,
5,18,constant,GA,4953.533333333334,4909.200000000001,4984.6,7.496379693349202,7.213541666666667,,
5,18,increasing,GA,9244.786666666667,9216.22,9265.22,7.489519755045573,7.302083333333333,,
5,18,random,GA,6697.065666666668,6677.799000000002,6730.398999999999,7.321852684020996,7.026041666666667,,
6,21,constant,GA,5562.133333333334,5537.9000000000015,5601.400000000001,9.729492346445719,9.390625,,
6,21,increasing,GA,12208.483333333332,12091.05,12332.75,10.457221031188965,9.901041666666666,,
6,21,random,GA,7780.350999999999,7769.150999999998,7790.750999999999,10.270041704177856,9.65625,,
8,26,constant,GA,7051.633333333334,6932.1,7124.500000000001,29.824109315872192,28.609375,,
8,26,increasing,GA,18468.133333333335,18221.3,18615.2,26.18125581741333,25.401041666666668,,
8,26,random,GA,9911.759666666667,9890.293,9922.493,29.386098782221477,28.427083333333332,,
