method,obj,runtime,cpu_runtime,mip_gap
MIP,1457.0,0.06699991226196289,0.0,0.0
MDP-DP,1457.0,0.006188869476318359,,
RuleOfThumb,1460.4,0.0005385875701904297,,
MyopicGreedy,inf,0.0,,
GA,1457.0,1.072690725326538,,
